order_id,n_picks,touched_at_min,touched_at_max
1,29,2019-09-30 13:58:07,2019-09-30 14:18:53
2,11,2019-11-11 16:32:09,2019-11-11 16:53:46
3,9,2019-11-11 10:26:22,2019-11-11 10:31:28
4,46,2019-11-11 09:24:33,2019-11-11 10:13:00
5,42,2019-11-12 09:10:03,2019-11-12 09:41:27
6,87,2019-11-13 13:46:37,2019-11-13 14:43:03
7,12,2019-11-12 10:48:33,2019-11-12 11:18:46
8,24,2019-11-11 16:03:36,2019-11-11 16:16:59
9,44,2019-11-11 19:07:30,2019-11-11 19:59:48
10,45,2019-11-13 19:54:44,2019-11-13 20:41:50
11,15,2019-11-13 08:02:33,2019-11-13 08:23:39
12,4,2019-11-12 08:55:14,2019-11-12 09:01:19
13,44,2019-11-11 16:12:43,2019-11-11 17:10:45
14,12,2019-11-12 10:48:49,2019-11-12 10:55:28
15,42,2019-11-11 14:31:37,2019-11-11 14:55:13
16,9,2019-11-11 09:16:52,2019-11-11 09:33:44
17,20,2019-11-11 08:36:20,2019-11-11 09:10:02
18,26,2019-11-11 08:49:51,2019-11-11 09:23:19
19,60,2019-11-12 14:06:22,2019-11-12 15:44:42
20,27,2019-11-11 18:40:06,2019-11-11 19:07:37
21,26,2019-11-11 08:56:46,2019-11-11 09:14:21
22,24,2019-11-11 08:05:20,2019-11-11 08:41:36
23,47,2019-11-11 09:41:00,2019-11-11 10:05:26
24,34,2019-11-12 11:13:03,2019-11-12 11:35:51
25,12,2019-11-12 10:18:01,2019-11-12 10:27:08
26,62,2019-11-11 10:19:16,2019-11-11 11:43:39
27,29,2019-11-11 15:53:11,2019-11-11 16:16:04
28,15,2019-11-11 15:49:56,2019-11-11 15:54:33
29,25,2019-11-11 18:40:14,2019-11-11 19:11:51
30,9,2019-11-11 13:37:27,2019-11-11 13:43:09
31,14,2019-11-11 11:59:51,2019-11-11 12:12:59
32,70,2019-11-11 10:01:02,2019-11-11 11:20:26
33,9,2019-11-11 10:35:11,2019-11-11 10:57:46
34,25,2019-11-11 19:08:27,2019-11-11 19:30:19
35,10,2019-11-11 09:34:31,2019-11-11 09:47:49
36,68,2019-11-11 08:42:39,2019-11-11 09:27:39
37,51,2019-11-12 09:08:44,2019-11-12 09:28:04
38,14,2019-11-11 10:25:15,2019-11-11 10:35:36
39,31,2019-11-11 08:25:41,2019-11-11 08:41:38
40,14,2019-11-11 08:40:21,2019-11-11 08:51:28
41,25,2019-11-11 08:00:35,2019-11-11 08:33:56
42,6,2019-11-11 08:09:30,2019-11-11 08:13:44
43,13,2019-11-11 08:04:56,2019-11-11 08:26:18
44,13,2019-11-11 10:11:34,2019-11-11 10:34:48
45,37,2019-11-11 08:37:29,2019-11-11 09:14:31
46,79,2019-11-14 08:05:23,2019-11-14 08:43:07
47,18,2019-11-11 10:30:22,2019-11-11 11:08:59
48,9,2019-11-11 10:24:37,2019-11-11 10:38:53
49,26,2019-11-11 11:28:25,2019-11-11 12:01:46
50,9,2019-11-11 09:57:06,2019-11-11 10:06:33
51,16,2019-11-11 09:05:55,2019-11-11 09:15:59
52,5,2019-11-11 18:37:12,2019-11-11 18:59:53
53,2,2019-11-11 10:04:16,2019-11-11 10:05:26
54,18,2019-11-14 12:22:17,2019-11-14 12:31:54
55,51,2019-11-12 11:44:26,2019-11-12 12:39:25
